카테고리,제목,청원내용
충청남도 금산군," 
														웨딩플레이션 해소와 사회 변화에 따라 공공기관 주관 ‘시민 결혼식’ 도입을 제안합니다.
														","1. 현황 및 문제점  가. 과다한 결혼 비용과 결혼 기피  최근 한국 사회는 결혼식 비용이 급등하는 이른바 ‘웨딩플레이션(Weddingflation)’ 현상을 겪고 있습니다. 한국소비자원의 2025년 조사에 따르면 전국 결혼 서비스 평균 비용은 약 2,100만 원에 이르며, ‘스드메(스튜디오·드레스·메이크업)’로 대표되는 각종 추가 비용을 요구해 예비부부들의 경제적 부담을 크게 가중시키고 있습니다.   또한 청년들이 결혼을 하지 않는 이유 1위는 ‘결혼 자금 부족(31.3%)’으로, 과도한 결혼 비용은 기대 혼인 연령을 지연시키는 직접적인 원인이 되고 있으며, 이는 기형적인 인구 구조 심화로 이어져 공동체의 지속 가능한 운영을 어렵게 만들고 있습니다.      나. 대인관계 폭의 변화와 기존 결혼 문화의 괴리   전통적인 한국의 결혼식은 가족 간 결합을 과시하는 성대한 행사였습니다. 그러나 대인관계의 내실화와 실용적인 관계를 중시하는 현재 청년 세대에게 결혼식은 더 이상 순수한 기쁨의 자리가 아니라, 어쩔 수 없이 치러야 하는 부담스러운 의례로 인식되고 있습니다.  통계청 조사에 따르면 13세 이상 인구의 76.9%가 현재의 결혼식 문화가 과도하다고 느끼고 있으며, 타인의 시선을 의식한 과시적 소비와 SNS를 통한 비교 문화는 결혼식을 ‘축복의 장’이 아닌 ‘보여주기 위한 행사’로 변질시키고 있습니다. 또한 하객들 역시 축의금 부담과 시간 낭비에 대한 부정적 인식을 갖게 되어, 이른바 ‘돈만 보내는’ 문화가 확산되고 있습니다.      다. 기존 공공기관 예식장의 낮은 이용률     일부 지방자치단체에서 결혼 비용 부담 완화를 위해 공공시설을 예식 공간으로 개방하고 있으나, 실제 이용률은 매우 낮습니다. 주차 공간 부족, 피로연 장소 부재, 개방된 구조로 인한 사생활 노출 등의 문제를 안고 있을 뿐 아니라, 장식·식사 등 각종 부대 서비스를 위해 당사자가 민간 업체와 개별 계약을 해야 합니다. 이 때문에 준비 과정이 민간 예식장보다 더 번거롭고 최종 비용 면에서도 큰 이점을 제공하지 못하고 있습니다.    라. 새로운 대안 마련의 필요성   사회 구조와 가치관의 변화에 따라 청년층 등의 결혼 진입 장벽을 낮추고, 시민 모두에게 평등한 결혼의 기회를 제공하기 위해 유럽(프랑스, 독일 등)에서 보편화된 ‘시민 결혼식(Mariage civil)’ 모델을 한국 현실에 맞게 도입할 것을 제안합니다.       (참고) 프랑스의 시청 주관 결혼식(Mariage civil)의 구성과 절차   - 주례 및 진행: 시장, 부시장 또는 구청장이 주례권을 가지고 결혼식을 직접 주관   - 참석 인원(최소 4명): 결혼 당사자 2인과 증인 최소 2인   - 장소: 프랑스 전역의 시·구청 내에 마련된 전용 예식 공간 활용(통상 2~3평 내외 규모)   - 소요 시간 및 내용: 예식은 약 15분 내외로 진행되며, 법적 의무 사항인 혼인 선서와 서명으로 구성   - 비용: 시청 공간 대여료, 공무원 인건비, 행정 처리 비용 등은 무상     2. 제안 내용: 시민 결혼식  가. 시·군·구청 내 전용 소규모 예식 공간(시민결혼식장) 상설 운영 시청이나 구청 내 3~5평 내외의 소규모 공간을 전용 결혼식장으로 지정합니다.  다수가 참석하는 기존 예식장이 아닌 당사자만 참석하여 부담 없이 결혼식을 할 수 있는 소규모 공공 예식 공간을 상설 운영함으로써, 공적 서비스의 상징성과 편의성을 제공하여 예식의 사회적 의미 제공과 비용을 획기적으로 절감하고자 합니다.      나. 시·군·구청장의 주례 및 진행   시장, 부시장 또는 군·구청장이 직접 혼례를 주관하거나, 지정된 국장급 이상 공무원이 혼인 서약 및 서명 절차를 안내합니다. 예식에 사용하는 서류는 지자체별 양식과 공통 공공 양식(혼인증명서 등)을 활용합니다. 이를 통해 결혼이 단순한 사적 행사가 아니라, 국가가 축복하고 보증하는 법적·사회적 결합임을 분명히 하여 예식의 공적 의미와 권위를 높일 수 있으며, 지역 공동체에 대한 관심과 참여도 확대 시킬 수 예상합니다.    다. 소수 증인·가족 중심(4∼10명 이내 권장)의 간소한 절차   양가 직계가족과 소수의 증인(친구 등) 등 최소 인원만 참석한 가운데 약 15~20분 내외로 경건하고 간소하게 예식을 진행합니다. 대규모 하객 동원과 피로연 준비에 대한 강박에서 벗어나, 결혼 당사자 간의 관계와 서약 자체에 집중하는 문화를 형성합니다.      라. 행정 처리와 예식의 일원화   예식 직후 현장에서 혼인신고서를 즉시 접수·처리하게하여 행정적 효율성을 도모합니다. 예식에서 사용한 혼인신고서 등 증명서 등을 식 종료 후 바로 구청에 제출할 수 있게 하여 절차 간소화도 유도합니다.    마. 결혼식 비용   예식장 대여료 및 행정 비용을 무상으로 하거나, 소액의 행정 수수료(예: 10만 원 수준)만 부과하는 방식으로 운영해 경제적 진입 장벽을 최소화합니다. 이를 통해 다양한 계층의 시민이 경제적 부담 없이 결혼식을 실시할 수 있도록 합니다.      3. 기대효과  가. 과시적 혼례 문화에서 관계 중심 문화로의 전환   타인에게 보여주기 위한 결혼식에서 벗어나, 신랑·신부를 위한 축복의 시간이 되는 건강한 결혼 문화를 정착 시킬 수 있습니다. SNS 등을 통한 과도한 비교 의식과 상대적 박탈감을 줄이고, 실용적이고 지속 가능한 라이프스타일을 확산시키는 효과도 기대할 수 있습니다.      나. 하객 및 당사자의 사회·심리적 부담 경감   대규모 하객 초청 압박과 축의금 회수에 대한 집착을 줄여, 혼주와 하객 모두의 사회적·심리적 부담을 완화합니다. 이로써 ‘축의금 논란’이나 ‘식대 경쟁’과 같은 소모적인 사회적 갈등을 감소시키는 데도 기여할 수 있습니다    다. 결혼 진입 장벽 완화 및 혼인율 제고   평균 2,000만 원이 넘는 예식 비용을 수십만 원 이하 수준으로 줄여, 경제적 이유로 결혼을 미루거나 포기하던 청년층과 사회적 약자의 결혼 접근권을 실질적으로 보장할 수 있습니다. 이는 궁극적으로 저출산 문제를 완화하는 데 기여할 수 있습니다.    라. 공공 자산의 효율적 활용 및 국가 역할 강화   전국 시·군·구청의 유휴 공간을 시민을 위한 의례 공간으로 전환하여 행정 서비스에 대한 만족도를 높일 수 있습니다. 아울러 국가가 국민의 생애주기 핵심 단계에 적극적으로 참여함으로써, 복지국가로서의 책임과 역할을 강화하는 계기가 될 것입니다.    "
문화체육관광부," 
														유튜브 유료광고 저작권 침해, 신고해도 막을 수 없습니다. 절차 개선해 주세요.
														","안녕하세요. 저는 오리지널 캐릭터(OC) '***(****)'의 저작권자이며, 해당 영상을 유튜브에 올리고 관리하는 소규모 채널을 운영하는 한 명입니다. 최근 제 캐릭터와 2차 창작 애니메이션 영상이 해외 모바일 앱 개발사에 의해 유튜브 유료광고(YouTube Ads)로 무단 도용되어 상업 광고로 송출된 사실을 확인했습니다. 그러나 이 사건에서 더 심각한 문제는 개별 피해를 넘어선 구조적 결함입니다. 유튜브 유료광고는 타겟팅으로 일부 이용자에게만 노출되고 검색이 불가능해, 피해자가 침해 광고 URL을 확보하는 것 자체가 매우 어렵습니다. 그런데도 저작권 신고는 침해 URL 제출을 사실상 필수로 요구합니다. 그래서 ""광고 침해""는 애초에 신고가 반려되거나 지연되기 쉬운 구조입니다. 유료광고는 집행되는 동안 예산이 하루하루 소진되고 노출·피해가 누적되므로, 신고가 접수되면 신속한(임시) 중단이 무엇보다 중요합니다. 그런데 저는 광고 스크린샷과 광고 대상 앱 링크 등 할 수 있는 증빙을 먼저 제출했지만 ""정보가 불완전하다""는 답만 받았고, 무엇이 부족한지에 대한 구체적 피드백은 없었습니다. 이후 겨우 광고 URL을 확보해 제출한 뒤에도 삭제까지 수일이 걸렸고, 그사이 침해 광고는 계속 송출되어 피해가 커졌습니다. 또한 정당한 신고자에게 ""게시 중단 요청에 허위 정보가 포함된 것으로 판단된다""는 취지와 함께 ""7일 이내 회신이 없으면 계정(채널)이 해지될 수 있다""는 통보가 이어졌습니다. 본 건에서는 무엇이 '허위'인지도 밝혀지지 않았고, 제출한 자료만 봐도 납득하기 어려웠습니다. 광고주와 플랫폼은 침해 광고로 수익을 얻는 동안, 피해자인 창작자는 채널 삭제 위험을 안고 입증 책임을 지는 불균형이 발생합니다. 타임라인 요약: */** 침해 제보 수신 → */** 최초 신고(스크린샷·앱 링크 제출) → */** ""정보 불완전"" 반려(보완 안내 없음) → */** 침해 URL 확보 후 재문의 → */** 유튜브 2차 답변(모호한 추가 정보 요구·계정 해지 경고) → */** 삭제 통보. 최초 신고 후에도 약 7일간 침해 광고가 계속 송출되었고, 전체 약 13일간 집행된 것으로 확인됩니다. 광고주가 해외 사업자인 경우 소규모 창작자가 국경을 넘어 소송·구제를 진행하는 것은 비용과 절차상 현실적으로 거의 불가능합니다. 결국 플랫폼이 신속히 광고를 차단하는 것 외에는 권리 침해를 막을 방법이 없는데, 현재는 삭제 통보만으로 사건이 끝나고 광고주 제재·피해 구제·부당수익 환수는 저작권자가 직접 변호사를 선임해 진행해야 합니다. 사실상 면책에 가까운 구조입니다. 침해 광고가 송출되는 동안 플랫폼도 광고 수익을 얻기 때문에, 신고 접수 후에도 즉시 중단하지 않는 대응은 이해관계 충돌에 대한 합리적 의심을 낳기에 충분합니다. 이미 유튜브에 해당 문제에 대해 항의하고 개선을 요구했지만 완전히 묵살당했습니다. 이 문제는 개인 창작자만으로 해결할 수 없고, 비슷한 피해가 반복될 수 있기에 관계기관이 나서 제도 개선을 추진해 주시기를 간곡히 청원합니다.   아래와 같이 개선해 주십시오. 1. 광고 침해 신고 절차 개선    유료광고는 일반 이용자 업로드와 달리, 지연 시 저작권자에게 수익이 환급되는 구조가 없고 광고수익은 유튜브에 귀속되며 피해만 누적됩니다. 따라서 유료광고 저작권 침해 신고는 일반 업로드보다 더 신속하게 처리하고, 스크린샷·광고 대상 앱 링크 등 간접증빙만으로도 접수한 뒤 침해에 대한 합리적 의심이 있으면 우선 송출 중단(임시 차단)하고 이어서 검토하는 절차를 마련해 주십시오. 2. 광고주·계정 제재 및 재발 방지    반복 침해 광고주에 대한 광고 계정 정지 등 실효적 제재와, 앱스토어 연계 제재 등 재발 방지 방안을 마련해 주십시오. 3. 피해 구제(보상·환수) 안내 체계    침해 광고로 피해가 확대된 경우, 피해자가 이용할 수 있는 분쟁조정·구제 절차와 제출 자료, 처리 일정을 투명하게 안내하도록 해 주십시오. 4. 신고자 보호    정당한 권리 행사를 위축시키는 과도한 ""계정 해지"" 경고 통지 관행을 개선하고, 선의의 신고자가 불이익을 받지 않도록 보호 장치를 마련해 주십시오."
문화체육관광부," 
														가짜뉴스 피해 방지를 위한 언론중재법 및 정보통신망법 개정을 촉구합니다
														"," 요즘 한국에서 온라인상 가짜뉴스의 확산이 어느 때보다 쉽게 이루어지고 있으며, 그로 인한 개인과 사회의 피해도 심각해지고 있습니다. 그러나 우리나라의 제도는 전통적 언론사 중심의 사후 구제에 머물러 있어, 실제 허위정보가 유통되는 온라인 플랫폼 환경의 변화를 반영하지 못하는 것이 현실입니다.    현행 법의 문제점을 정리하자면 다음과 같습니다.    첫째, 신속한 대응 절차가 마련되어 있지 않습니다.  언론중재위원회 조정은 2~3주 내에 기일이 지정되어 비교적 신속한 편이지만, 선거기간이나 재난 상황처럼 수 시간 내에 허위정보가 폭발적으로 확산되는 상황에 대응하기에는 한계가 있습니다.    둘째, 정정보도의 노출 효과가 원보도에 비해 현저히 떨어집니다.  작년 언론중재위원회 조정사건은 4,026건으로 집계되었으며, 전체 피해구제율은 69.9%였습니다. 그러나 구제가 이루어져도 정정보도가 원보도만큼 노출되지 못해, '정정보도를 다시 정정해달라'는 청구까지 발생하는 실정입니다.    셋째, 플랫폼 사업자에 대한 실효적 의무가 부재합니다.  현행 언론중재법은 '언론사'를 중심으로 정정보도청구권(제14조), 반론보도청구권(제16조), 추후보도청구권(제17조) 등의 구제 수단을 규정하고 있습니다. 지금 허위정보가 가장 빠르게 확산되는 통로는 소셜미디어와 온라인 플랫폼인데, 정보통신망법 제44조의4의 자율규제 가이드라인은 사실상 임의 규정에 가까워 실효성이 부족합니다.    넷째, 한국에는 현재 플랫폼 알고리즘과 정치광고에 대한 포괄적 투명성 의무가 없습니다.  허위정보가 알고리즘 추천이나 후원 콘텐츠를 통해 빠르게 확산되고 있음에도, 이를 규율할 법적 근거가 부족합니다.    이에 언론중재법과 정보통신망법의 다음과 같은 개정을 요청합니다.    첫째, 선거·재난 등 긴급 상황에서 '명백한 허위사실'에 한해 신속히 대응할 수 있는 절차를 마련해 주십시오.    둘째, 정정보도는 원보도와 같은 위치, 같은 크기, 같은 기간 노출되도록 의무화해 주십시오. 진실이 거짓과 같은 무게로 전달되어야 비로소 구제입니다.    셋째, 일정 규모 이상의 온라인 플랫폼에 대해, 신고 및 처리 의무와 확실한 투명성 보고 의무를 부과해 주십시오. 동시에 이용자의 이의신청권을 함께 보장하면 무분별한 검열을 방지할 수 있을 것입니다.    넷째, (플랫폼 투명성 보고 의무) 알고리즘 작동 원리 및 추천 기준 표시, 정치광고의 자금 출처 및 타깃 기준 공개를 의무화해 주십시오. 어떤 정보가 왜 내 눈앞에 떴는지 알 권리는 시민의 기본권입니다.    가짜뉴스의 피해자는 특정 누군가가 아닙니다. 오늘은 연예인, 내일은 평범한 이웃, 그다음은 우리 자신일 수 있습니다. 거짓이 빠르게 퍼지는 시대에 진실도 그만큼 빠르게 회복될 수 있도록, 국회의 적극적인 입법을 부탁드립니다. 감사합니다."
교육부," 
														어린이집 CCTV 의무제출 제도화
														",잊을 만하면 터져 나오는 어린이집 보육교사들의 어린이 학대 장면을 보게됩니다. 어제(5/3)저녁 전북권 지방뉴스에서 어린이집 어린이를 학대하는 장면을 보았습니다. CCTV 영상이 2개월만 저장되고 이후 자동 소멸 되므로서 그 전 장면을 볼 수 없다는 사실을 알았습니다. 이러한 어린이(유치원/유아원)학대 뉴스를 볼 때마다 분개를 하게 됩니다. 현재 그냥 2개월이 지나면 자동소멸 되는 CCTV 영상을 소멸 되기전 어린이집에서 해당 지자체에 의무제출 하도록 제도를 정비 하자는 청원입니다. 어린이 학대가 사라질 것 으로 기대합니다  
교육부," 
														아동학대가 발생할 수 없도록 또는 학대까지 할 마음이 생기지 않도록 해주세요.
														","■사건발생 작년 2025년 청주 시립소속의 어린이집을 다니던 아이가 여름방학이 끝난 뒤 얼마 지나지 않아 아이가 어린이집 등원을 거부하였습니다. 아이가 화장실 변기 위에 담임선생님이 올려놓고 사탕을 빼앗고 머리를 때렸다고 말을 하였고  놀랐지만 아이가 힘들게 말하는 내용을 최대한 녹화를 하였습니다.   ■사건발생 직후의 아이 언행의 변화 집만 나가게 되면 어린이집 가는거냐고 집 문밖에 나가기 전부터 걱정하며 울었습니다. 차만 타게되면 어린이집 가는거냐고 걱정하며 떨었습니다. 선생님이라는 호칭을 가진 사람(의사선생님 등)을 모두 의심하고 째려보며 말을 섞지 않으려 했습니다.   ■사건 종결의 과정 저는 즉시 cctv를 확인하기 위하여 경찰 고소를 진행하여 어린이집 cctv 녹화본을 확보하였습니다. 아이는 경찰 진술때도 ""머리를 때렸다""라는 진술과 행동을 보여주었습니다. 하지만 어린이집의 cctv 녹화본은 교실 內에만 되어 있어서 학대 또는 학대의 정황을 포착하지 못하였습니다. 그로인하여 경찰은 불송치의견으로 검찰에 넘겼고 검찰에서 한달이 안되어 불송치결정이 되었습니다.   ▣개선을 바라는 점 출산률이 떨어지니 아이를 낳으라고 하는 와중에도 지속되는 아동학대와 학대의 정보를 알게되면 아이를 낳은 뒤에도 각자 받을 고통도 감내할 생각으로 아이를 출산해야하는 세상이 되어가고 있습니다. 아동학대를 겪어보면 이 사회는 아이만 낳고 그 후의 안정된 삶을 아이에게 제공할 수 있는 배경이 되어 줄 수 있는가가 참 의문스럽지 않을 수가 없었습니다. 저희 아이가 당한 아동학대 건을 되짚어보면 어린이집에서 아동학대를 하는 방법으로 어린이집에서는 선생님의 말을 잘듣게 만들 수 있는 방법으로 cctv의 사각지대 또는 외부활동에서 cctv가 설치되어 있지 않는 장소에서 상처없이 학대를 저지르면 되면 된다, 그러면 선생님 말을 아주 잘 듣는다 라는 정보가 어린이집 교사들 사이에서 성행할까 걱정입니다. 4살 아이의 등원거부, 외부활동에서 어린이집에 의한 걱정, 모든선생님들의 적대 등 아주 풍부한 증빙자료를 녹화제출 하였고, cctv의 증거가 없기에 사건을 조속히 마무리 하려는 모습.. 들을 보면 더 힘이 들었습니다. 아이가 대체 몇살이 되어서 진술하면 아동학대를 당한 사실을 믿어주실련지 모르겠습니다. 마음에 안드는 아이가 있으면 남의 아이라도 cctv없는곳에 끌고 데려가 어린아이는 진술해도 신빙성 인정 받기 힘드니 어린이집뿐만아닌 길거리에서 누구라도 학대할 수 있을 것도 같더군요. 1. 현행법상 보육실 위주의 cctv 설치는 반쪽짜리 예방책으로 지침을 수정하여 복도 설치 및 녹화를 권고하고  이를 평가인증 점수에 강력히 반영하여 주십시오. 2. 복도는 공용공간이므로 보육실보다 사생활 침해 우려가 적으며, 아동의 안전권이 우선시 되어야하는 곳인 만큼 개인의 정보보호권보다 우선시 되어야 한다고 봅니다. cctv 녹화를 피해서 얼마든지 학대가 가능하고 학대가 가능한 사실이 널리 퍼지고 있을것으로 예상됩니다. 또한 저와 같은 아동학대가 발생하였다고 하여도 아이의 진술보다 cctv 증거 불충분하다는 이유만으로 불송치 의견이  발생하는 사례가 심각하게 많은 것으로 보였습니다. cctv의 사각지대와 아동학대가 발생하였을 때의 아이의 진술을 좀 더 구체적으로 분석하고 도와줄 수 있는 제도마련이 시급하다고 생각 됩니다."
법무부," 
														촉법소년 및 소년범 중대범죄 책임강화와 피해자 보호를 위한 법률 개정 청원
														","존경하는 국회와 정부 관계자 여러분께. 저는 현행 촉법소년 및 소년범 제도가 시대 변화와 국민의 법감정에 맞게 개정될 필요가 있다고 생각하여 이 청원을 제출합니다. 현행 제도는 청소년의 교화와 사회 복귀를 목적으로 하고 있으며, 이러한 취지 자체는 존중받아야 합니다. 그러나 최근 사회에서는 살인, 살인미수, 성폭력, 집단폭행, 중상해, 조직적 학교폭력 등 중대한 범죄를 저지른 미성년자 사례가 지속적으로 발생하고 있습니다. 특히 정보화 시대에 접어들면서 청소년들은 인터넷과 AI 등을 통해 법률 정보와 수사 절차를 쉽게 접할 수 있게 되었습니다. 일부 청소년들은 자신이 받을 수 있는 처분의 한계를 사전에 인지하고 범행을 계획하거나, 범행 후 책임을 회피하려는 모습을 보이기도 합니다. 물론 모든 청소년이 성인과 동일한 판단 능력을 가지고 있다고 볼 수는 없습니다. 그러나 범죄의 중대성과 계획성, 반복성까지 고려하지 않은 채 단순히 연령만으로 책임을 제한하는 것은 국민이 체감하는 정의와 괴리가 있다고 생각합니다. 따라서 다음과 같은 법률 개정을 요청합니다. 1. 중대 강력범죄에 대한 특별처분 제도 도입 다음 범죄에 대해서는 일반적인 보호처분 외에 별도의 특별심사를 의무화해 주시기 바랍니다. 살인 및 살인미수 강간 및 성폭력 범죄 특수강도 방화 중상해 흉기 사용 범죄 계획적 집단폭행 이러한 범죄는 피해자의 생명과 인권을 심각하게 침해하는 행위인 만큼, 단순 연령 기준만이 아니라 범죄의 결과와 위험성을 함께 고려해야 합니다. 2. 상습범 및 재범에 대한 단계적 책임 강화 초범과 재범을 동일하게 취급해서는 안 됩니다. 초범은 교정 및 교육 중심 재범은 보호처분 강화 상습범은 성인 형사처벌에 준하는 책임 검토 특히 동일 범죄를 반복하거나 보호처분 이후에도 개선되지 않는 경우에는 보다 엄격한 조치가 필요합니다. 3. 조직적 학교폭력 가중처벌 규정 신설 학교폭력은 단순한 학생 간 다툼과 구별되어야 합니다. 다음 행위에 대해서는 별도 가중처벌 규정을 마련해 주시기 바랍니다. 장기간 집단 괴롭힘 사이버불링 집단폭행 금품갈취 성적 괴롭힘 강제 심부름 및 협박 특히 피해자가 장기 치료를 받거나 심각한 정신적 후유증을 겪은 경우에는 처분 수위를 상향할 수 있도록 해야 합니다. 4. 계획범죄 가중요소 도입 인터넷, SNS, AI 등을 이용하여 범죄를 계획한 경우 공범을 모집한 경우 증거인멸 방법을 사전에 준비한 경우 에는 계획성이 인정되는 만큼 가중요소로 반영해 주시기 바랍니다. 이는 단순 충동범죄와 계획범죄를 구별하기 위한 최소한의 장치가 될 것입니다. 5. 피해자 보호 중심 제도 강화 현행 제도는 가해자의 교화에 중점을 두고 있으나, 피해자의 회복 역시 국가가 적극적으로 지원해야 합니다. 다음 제도의 확대를 요청합니다. 피해자 심리치료 지원 법률 지원 접근금지 명령 강화 피해 회복 프로그램 운영 국가 차원의 상담 지원 확대 6. 교정 프로그램 의무화 강력범죄를 저지른 소년범에게는 심리상담 인성교육 직업교육 가족치료 등을 의무적으로 이수하도록 하고, 이를 거부하거나 반복적으로 위반하는 경우 처분을 강화할 수 있도록 해 주시기 바랍니다. 기대효과 본 청원은 모든 미성년자에 대한 무조건적인 처벌 강화를 요구하는 것이 아닙니다. 청소년 보호 원칙은 유지하되, 중대한 범죄와 반복 범죄에 대해서는 그에 상응하는 책임을 부과하고, 동시에 피해자 보호와 재범 방지를 강화하자는 것입니다. 범죄를 저질렀을 때 반드시 책임을 져야 한다는 사회적 기준을 확립하고, 피해자의 권리를 보호하며, 청소년 범죄의 재발을 방지하는 데 기여할 수 있을 것이라 생각합니다. 국민의 생명과 안전, 그리고 공정한 법질서 확립을 위하여 관련 법률 개정을 적극 검토해 주시기를 요청드립니다. 감사합니다. 본내용은 재가 말주변이없어 AI의 힘을빌려 정리한 내용입니다. "
보건복지부," 
														부당한 산후조리원비용 담합의혹
														","출생률이 너무 부족한 현실에서 신생아 출산 지원금등이 그대로 부모돈을 더해서 산후조리원에 갑니다. 격려나 지원은 더 못해줄망정 갈취수준의 산후조리비용이라니요. 신태조사후 정부차원의 조치를 희망합니다. 10일에 200만원, 15일에 300만원이 넘어가고 더 비싼곳도 많습니다. 안가면 되지 않느냐는 말이 변명이 안되도록 살펴봐 주세요.  "
문화체육관광부," 
														문화의 날 혜택
														",대한민국국민으로서 문화의 날이 있다는 것에 행복합니다. 그런데 말입니다.저같이 종교인들에게는 수요일 저녁에 예배가 있어서 싼값에 영화를 보러가지 못합니다. 수요일이 아닌 다른 요일에 문화의 날이 지정된다면 참 좋겠어서 국민의 한 사람으로서 의견을 보내봅니다. 좋은 봄날 나라를 위해 수고하십니다.
보건복지부," 
														부당한 산후조리원비용 담합의혹
														","출생률이 너무 부족한 현실에서 신생아 출산 지원금등이 그대로 부모돈을 더해서 산후조리원에 갑니다. 격려나 지원은 더 못해줄망정 갈취수준의 산후조리비용이라니요. 신태조사후 정부차원의 조치를 희망합니다. 10일에 200만원, 15일에 300만원이 넘어가고 더 비싼곳도 많습니다. 안가면 되지 않느냐는 말이 변명이 안되도록 살펴봐 주세요.  "
보건복지부," 
														결혼 출산 장례 비용 감시  요청
														","과다한 결혼, 출산, 장례 비용 때문에 결혼.  출산을 주저하고 장례비를 빚을 지는 경우도 있습니다. 자기가 과다하게 안하면 된다고 하지만 업자들의 상술과 사회 인식등으로 울며 겨자먹기식으로 마지못해 바가지 요금을 지불하는 현실을 개선해 주세요. 실제로 과년한 자녀를 둔 부모, 젊은이들 등 해당 일을 치르는 사람들의 고충이 이만저만이 아닙니다.   한시간 결혼 비용에 5천만원은 당연하다고 요구하고, 이를 못 하면 모자란 사람으로 취급한다면 결혼을 앞둔 사람들이  결혼을 주저하게 됩니다. 출산후 산후조리 또는 아기용품, 고가의 장례비용도 마찬가지입니다.  일생에  한번 이라는 말로 사람들을 현혹시켜 정당치 않은 이득을 취하지 않게 국가에서 제도로 막아주시기 바랍니다. 이런 이유로 결혼, 출산률이 낮아지는 데 일조했다고 생각합니다. 과거  군사독재 시절 처럼 강제로 규제 하지는 않아도, 합리적이지 않은 가격  책정, 비정상적인 금품요구 등을 법적으로 제재하여야 한다고 생각합니다."
보건복지부," 
														신생아출생장려금
														",안녕하세요 이나라의 미래를 이어갈젊은세대들이 결혼을기피하고 결혼후신생아출산을기피하는이유는 있습니다.각지자체별로출산지원금이나 축하금이 다르다는것입니다.현직 국회의원들이권력과 자리싸움에만 한목소리내고  국민들의 생활안정이나 미래에대해서는단1도생각하지도않으며현행법이면괜챤겠지하는 허울만가진 생각으로 의정활동만 행함에 저출산의 현상과 나홀로라는  생각을가지는젊은 세대들이 많아지고있습니다.이러한제도를 개혁하여 전국어느곳이나 결혼후 신생아를 출산할경우 차별없이 동일하게 지원하는 지원제도를 마련해주십시요.정부에서 주는 축하금.지원금과 각 지자체에서주는 혜택을 대한민국 전역에 동일하게 적용하는 제도를 만들어주세요.  
문화체육관광부," 
														국내 스포츠 승부조작 의혹 관련 전수조사 실시 요청 청원서(안)
														","존경하는 문화체육관광부 장관님께, 저는 대한민국 스포츠의 공정성과 신뢰가 훼손될 수 있다는 심각한 우려를 바탕으로, 국내 스포츠 전반에 대한 승부조작 및 부정행위 의혹 관련 전수조사 실시를 정중히 요청드리고자 본 청원서를 제출합니다. 최근 국내 여러 스포츠 경기들을 지켜보는 과정에서, 일반적인 경기 흐름이나 선수의 기량으로는 쉽게 납득하기 어려운 플레이, 그리고 경기운영과는 전혀 다른 엉뚱한 감독의 작전지시 그리고 경기의 공정성을 해칠 수 있다고 의심될 만한 심판의 과도하거나 비상식적인 경기 개입 사례가 반복적으로 관찰되고 있습니다. 이러한 장면들은 단순한 경기력 저하나 판정 논란의 수준을 넘어, 스포츠의 근간인 공정성과 신뢰 자체에 대한 의문을 국민들에게 제기하고 있습니다. 물론, 현재 시점에서 개별 경기나 특정 인물에 대해 명확한 범죄 증거가 존재한다고 단정할 수는 없을 것입니다. 그러나 조사란 반드시 범죄의 확정적 증거가 존재할 때에만 착수되는 것이 아니라, 공익을 침해할 수 있는 구조적 위험 요소가 감지될 경우, 이를 사전에 점검하고 예방하기 위해 선제적으로 실시되는 행정적 조치이기도 하다고 생각합니다. 현행 스포츠기본법, 국민체육진흥법, 그리고 스포츠윤리센터 설치 및 운영에 관한 법률은 국가와 문화체육관광부가 스포츠의 공정성·청렴성 확보를 위해 체육단체를 지도·감독하고, 부정행위 및 승부조작을 예방·근절할 책무가 있음을 명확히 규정하고 있습니다. 또한 행정조사기본법에 따라, 공익 보호를 위한 범위 내에서 사전적·예방적 성격의 조사 및 전수점검이 가능함도 법적으로 보장되어 있습니다. 이에 본인은, ✔️ 특정 선수나 심판, 특정 종목을 지목하는 방식이 아닌 ✔️ 국내 스포츠 전반을 대상으로 한 ✔️ 예방적·제도 점검 차원의 전수조사 또는 특별점검을 통해 경기 운영 및 심판 배정·판정 시스템의 공정성 선수·지도자·심판과 불법도박 및 외부 세력 간의 구조적 위험 요인 현행 내부 감시·통제 시스템의 실효성 등을 종합적으로 점검해 주실 것을 요청드립니다. 이러한 전수조사는 특정인을 처벌하기 위한 목적이 아니라, 오히려 의혹을 해소하고, 스포츠에 대한 국민 신뢰를 회복하며, 향후 발생할 수 있는 더 큰 승부조작 사태를 사전에 방지하기 위한 국가의 책임 있는 조치가 될 것이라 생각합니다. 부디 문화체육관광부가 법령이 부여한 책무에 따라, 국민이 신뢰할 수 있는 공정한 스포츠 환경 조성을 위해 적극적인 검토와 조치를 해주시기를 간곡히 요청드립니다. 감사합니다."
문화체육관광부," 
														조작조사
														",스포츠  심판이나 선수들이 승패를 조작하는거같습니다 아닐수도 있지만 전체적으로 조사가 필요해보입니다
